,Band name,Country of origin,Location,Status,Formed in,Years active,Genre,Lyrical themes,Current/Last label,Discography,Country code,Spotify ID
1030,Ravengrim,Netherlands,"Rotterdam, South Holland",Unknown,,,"Heavy, Power Metal",,Unsigned/independent,['Storm the Gates'],NL,
1031,Ravenhate,Ukraine,"Zaporizhia, Zaporizhia Oblast",Active,2008,"2008-2009 (as Raven), 2009-present","Groove, Thrash Metal",,Unsigned/independent,['Сжигая жизнь / Burning the Life'],UA,
1032,Ravenhaunt,Costa Rica,"Palmares, Alajuela",Active,2017,2017-present,"Heavy, Power Metal",,Unsigned/independent,['Dueño de un imperio'],CR,
1033,Ravenhead,Netherlands,"Veghel, North Brabant",Split-up,1984,1984-?,"Heavy Metal, Hard Rock",,Unsigned/independent,['Ravenhead'],NL,
1034,Ravenheart,Switzerland,"Zürich, Zürich",Unknown,1997,1997-?,Power Metal,"Fantasy, Darkness",Twilight,"['Timeless Knights', 'Valley of the Damned']",CH,
1035,Ravenheit,Germany,"Sinzig/Brohl-Lützing, Rhineland-Palatinate",Active,2005,2005-present,Black Metal,"Hate, Death, Self-destruction, Oblivion",Unsigned/independent,['Einzug der Leere'],DE,
1036,Ravenhell,Spain,"Madrid, Community of Madrid",Active,2013,2013-?,"Thrash, Heavy Metal",,Unsigned/independent,"['Demo', 'Maldita']",ES,4Yw9ZbsPoyQYjqE3FpWGpd
1037,Ravenhelm,United States,"Goleta, California",Split-up,2008,2008-?,"Black, Pagan Metal","Nature, Paganism, Odinism",Ziekte Records,"['Infernal Ancient Years', 'Grave Beyond Yggdrasil', 'Through Pagan Mist', 'Serenity Is Only for the Dead', 'Runemal']",US,
1038,Ravenhill,Slovakia,"Bratislava, Bratislava",Active,2009,2009-present,"Folk, Symphonic Metal","Love, Society",Unsigned/independent,['Ground Zero'],SK,
1039,Ravenholm,Germany,"Ulm, Baden-Württemberg",On hold,2006,2006-present,Black Metal,"Death, Mythology, War",Unsigned/independent,"['Zu Beginn der Zeit', 'Zeitgeist', 'Demo 2012', 'Totenreich', 'Niedergang']",DE,
1040,Ravenholm,United Kingdom,,Active,,,Groove Metal,Instrumental,Unsigned/independent,['Ravenholm'],GB,
1041,Ravenhorst,Austria,"Mödling, Lower Austria",Split-up,2001,2001-?,Black Metal,,Unsigned/independent,"['Gewitterwind', 'Empyre / Ravenhorst']",AT,
1042,Ravenia,Finland,,Active,2013,2013-present,"Symphonic Metal, Film Score, symphonic power metal",,Inner Wound Recordings,"['Wingless', 'The Fallen', 'Farewell', 'Beyond the Walls of Death', 'We All Died for Honor', 'Creators of the Apocalypse', 'The Cage']",FI,4YT5jzIuVdOUk20Tsr3gtf
1043,Ravening,Finland,"Lappeenranta, Etelä-Karjala",Unknown,1998,1998-?,Death Metal,Death,Unsigned/independent,"['Exördium-Niedergang', 'Humanure', 'Forbidden Arts', 'Devilry / Ravening']",FI,
1044,Ravenking,Russia,"Rybinsk, Yaroslavl Oblast",Split-up,,,Black Metal,,Barbatos Productions,['The Four Harbingers of Death'],,
1045,Ravenland,Brazil,"São Paulo, São Paulo",Changed name,1997,"1997-2003, 2006-2015, 2015-present (as Wolfheart and the Ravens)","Gothic Metal, brazilian doom metal",Darkness,Free Mind Records,"['Demo - Ensaio October 1998', 'Live Pieces at Kalimar', 'Ao Vivo na Terra do Corvo', 'Tribute to Darkness', 'Black EP', 'Back', 'And a Crow Brings Me Back', 'Memories', 'Nevermore', 'Poisoned', 'Ravensongs for the Ravenhearts', 'Poisoned']",BR,4A8WKV2lFPSIIiSCDDeGyQ
1046,Ravenlaw,Czechia,"Hořovice, Central Bohemian Region",Active,2009,2009-present,Power Metal,"Death, Evil, Torture",Unsigned/independent,"[""Torturer's Chamber"", 'King Imperial', ""Xenomorph's Hive"", 'For the Sign of Trident Crossed']",,6aZB1K9aRY213xp5po2Pno
1047,Ravenlight,United Kingdom,"Belfast, County Antrim, Northern Ireland",Active,2018,2018-present,"Symphonic Power Metal, belfast metal",,Novus Records,"['Where the Stars Grow', 'End of the World', 'Words Unspoken', 'Project Genesis', 'Zenith (Ghost cover)', 'Intermission', 'Project Genesis - Live in Belfast']",GB,4jxtupGivizNdkM4pTNufj
1048,Ravenloft,Brazil,"Curitiba, Paraná",On hold,2000,"2000-2001, 2001-present","Power, Heavy Metal","Self-Strength, War",Unsigned/independent,['Crowning Battle'],BR,
1049,Ravenlord,Malaysia,Kuala Lumpur,Unknown,1993,"1990-1993 (as Misanthrope), 1993-?","Black, Viking, Folk Metal","Death, Viking",Music Trax Sdn. Bhd.,"['Martyr, Hail']",MY,
1050,Ravenlord,Poland,"Warsaw, Masovia",On hold,,,"Hard Rock, Heavy Metal",,B.C.,['Łowca'],PL,
1051,RavenLord,Brazil,"Valinhos, São Paulo",Active,2009,2009-present,"Gothic Metal, Rock","Darkness, Pain, Obscure Side",Unsigned/independent,"['Crowtagram', 'Died Angel']",BR,
1052,Ravenlord,Germany,"Arlesried, Bavaria",Split-up,2008,2008-2019,Pagan Metal,"Nature, Heroic saga, Paganism, History",Unsigned/independent,"['...and the Ravens Rise Above the Battlefield', 'Schwertgesang']",DE,
1053,Ravenlord,Norway,"Sarpsborg, Viken",Split-up,2001,2001-?,Power Metal,,Unsigned/independent,['Supremacy of Time'],NO,
1054,Ravenlord Darkstorm,Poland,"Warsaw, Masovia",Changed name,2000,"1993-2000 (as Darkstorm), 2000-2001, ?-present (as Darkstorm)",Black Metal,Paganism,The Ritual Productions,"['The Dark Wave', 'Black September / Ravenlord Darkstorm']",PL,
1055,Ravenlords,Sweden,"Norrköping, Östergötland",Split-up,1998,"1997-1998 (as Injexion), 1998-2003",Power Metal,,Unsigned/independent,"[""The King's Men"", 'Demon in Chains', 'Denying Comprehension', 'Spiritual Fortress', 'Operation Evil', 'Dangerous Machinery']",SE,
1056,Ravenlore,Germany,"Bayreuth, Bavaria",Split-up,2008,"2003-2008 (as Dod Aernst), 2008-?","Black, Death Metal",,Unsigned/independent,"[""Through the Raven's Eye""]",DE,
1057,Ravenmoon Sanctuary,Poland,"Słupsk, Pomerania / Otwock, Masovia",Active,,,Black Metal,"Death, Melancholy, Winter",Altare Productions,"['Czernią spowity prastary duch...', 'The Frozen Path of Nostalgia', 'W czarnym zamku duszy', 'Tren grudniowej melancholii', 'Winter Desolation of Death', 'Boreal Blackness Spirituality']",PL,
1058,Ravenna Strigoi Mortii,Poland,"Ostrów Wielkopolski, Greater Poland",Split-up,2004,2004-?,Raw Black Metal,"Anti-christianity, Darkness, Chaos",Unsigned/independent,['Raw & Primitive'],PL,
1059,Ravenoir,Czechia,"Brno, South Moravian Region",Active,2020,2020-present,Melodic Death Metal,,Gothoom Productions,"['The Darkest Flame of Eternal Blasphemy', 'In the Womb of Sin']",,52zwJ1ufQLPIG5u2sQIUCf
1060,Ravenous,Peru,"Chiclayo, Lambayeque",Active,2017,2017-present,"Thrash Metal, Crossover","Social problems, Catastrophes",El Rito,"['Masacre voraz', 'Esclavo de tu mente', 'El cantar de la marea']",PE,
1061,Ravenous,New Zealand,"Invercargill, Southland",Split-up,2002,2002-?,Death Metal,,Unsigned/independent,[],NZ,
1062,Ravenous,Austria,"Pottschach, Lower Austria",Active,1988,"1988-1994, 2014-present","Thrash Metal, old school thrash",,Major Records International,['Book of Covetous Souls'],AT,5Pja4LCWNqZtNJAHqHKxHb
1063,The Ravenous,United States,"Benicia, California",Split-up,1997,1997-2004,Death Metal,"Gore, Horror","Red Stream, Inc.","['Assembled in Blasphemy', 'Three on a Meathook', 'Blood Delirium']",US,
1064,Ravenous,Canada,"Calgary, Alberta",Active,2016,2016-present,"Power Metal, symphonic power metal","Battles, Strength, Victory",Feast Beast Records,"['Eternal Hunger', 'Eat the Fallen', 'Hubris', 'Stark Raven Mad (Volume 1)']",CA,2ZTAB0wRw1VJDNwHJkRId5
1065,Ravenous,Argentina,"San Miguel, Buenos Aires",Split-up,,,Melodic Death Metal,,Unsigned/independent,[],AR,
1066,Ravenous,Italy,"Piacenza, Emilia-Romagna",Split-up,2001,2001-2008,"Death, Thrash Metal",,Unsigned/independent,"['Act of Pain', 'Four Steps into Fear']",IT,
1067,Ravenous,Ecuador,"Guayaquil, Guayas",Active,2013,2013-present,Heavy Metal,,Unsigned/independent,"['Sexxx Tapes', 'Mercenario del Infierno']",EC,
1068,Ravenous,Finland,"Jyväskylä, Keski-Suomi",Split-up,2003,2003-2011,Thrash Metal,"Life, War, Violence, Insanity",Unsigned/independent,"['From the Ashes', 'Delicious Disease', 'Bestial Legacy']",FI,
1069,Ravenous,United Kingdom,"Southampton, Hampshire, England",Active,2008,2008-present,"Thrash, Groove Metal","Death, Destiny, Philosophy",Unsigned/independent,['We Are Become Death'],GB,7nbD71gFDSaKAeQJzbZNVH
1070,Ravenous Cadaver,United States,"Seattle, Washington",Active,,,Death Metal,Instrumental,Metal Eternal,['Pathogen'],US,
1071,Ravenous Death,Mexico,Guadalajara / Colima / State of Mexico,Active,2016,2016-present,Death Metal,"Death, Blasphemy, Guts, Zombies, Occultism",Floga Records,"['Ominous Deathcult', 'Chapters of an Evil Transition', 'Visions from the Netherworld']",MX,
1072,Ravenous Dusk,Australia,"Sydney, New South Wales",Active,2021,2021-present,Black Metal,"Vampirism, Darkness",Seance Records,['The Dead of Night'],AU,
1073,Ravenous Mob,Brazil,"Curvelo, Minas Gerais",Active,2011,2011-present,Thrash Metal,,Unsigned/independent,"['Unholy Secrets', 'Among the Mob']",BR,
1074,Ravenous Nemesis,Poland,"Paczków, Opolskie",Split-up,2011,2011-2015,Thrash Metal,,Unsigned/independent,['The Rites of Thrash'],PL,
1075,Ravenouse,Italy,"Pordenone, Friuli-Venezia Giulia",Active,2008,2008-present,"Gothic Metal, italian gothic metal","Vampires, Emotional discomfort, Human awareness",Unsigned/independent,"['Ravenouse', 'The Last Gate']",IT,33FQnMBOdYs1O8d9vHCJkz
1076,Ravenpath,Germany,"Zwickau, Saxony",Active,2009,2009-present,"Symphonic Death, Black Metal, saxony metal, symphonic death metal",Myths,Unsigned/independent,"['Far Away', 'The Voices in the Winds', ""The Raven's Wisdom""]",DE,4tLIm4RwQEYTspVHlcB0ib
1077,The Ravens,Malaysia,"Kangar, Perlis",Split-up,1999,1999-?,"Black, Thrash Metal","War, Hate, Death",Unsigned/independent,"['Battlenoizes', 'Storm Jam', 'Rehearsal Tape 1999 + Rehearsal 2000']",MY,
1078,Ravens,France,"Béziers, Occitanie",Split-up,1984,"1977-? (as Sextincteur), ?-1982 (as Transit), 1982-1984 (as Raven), 1984-?","Hard Rock, Heavy Metal",,Amati,"['Demo 1', 'Get It in Your Head', 'Demo 2']",FR,
1079,Ravens Creed,United Kingdom,"London, England",Active,2006,2006-present,Death Metal,,Xtreem Music,"['Militia of Blood Sacrifice', 'Neon Parasite', 'Albion Thunder', 'Sollubi / Ravens Creed', 'High Voltage Festival Recorded Live July 2011', 'Nestless & Wild', 'The Power', 'Ravens Krieg', 'Get Killed or Try Dying', 'Give War a Chance']",GB,
1080,Ravens Dawn,United States,Arizona,Active,,,Raw Black Metal,,Unsigned/independent,"['Demo I', 'Precursor to Bloodshed']",US,
1081,Ravens over Gomorrah,United States,"Tustin, California",Split-up,1997,1997-?,Black Metal,,Unsigned/independent,"['Blasphemous Hymns, Nighttime Serenades', 'Darkly Melisma', 'Deadcraft']",US,
1082,Ravens'head,Australia,"Perth, Western Australia",Unknown,2000,2000-?,Power Metal,,Unsigned/independent,"['Sands of Time', 'From the Darkness']",AU,
1083,Ravensblood,France,"Metz, Grand Est",Split-up,2001,2001-?,Black Metal,"Paganism, War",Christhunt Productions,"['A New Blizzard Shall Come', 'Ravensblood / Memorial', 'From the Tumulus Depths']",FR,2SoPap3q9DtgwYARLsGONT
1084,Ravensbruck,United States,"Albany, New York",Active,2007,2007-present,Black Metal,National Socialism,B.H.,"['Might Is Reich', 'Auroras Death']",US,
1085,Ravensbrück 666,United States,"Glendale, Arizona",Split-up,2007,2007-2008,Black Metal,"National Socialism, Satanism, Antisemitism",Black Metal Cult Records,['Heinrich Himmler (Demo I)'],US,
1086,Ravenscar,Belgium,Brussels,Active,2015,2015-present,Folk Metal,,Unsigned/independent,['Red Moon'],BE,69iyv2nH8knSmSzb1WaDt8
1087,Ravenscry,Italy,"Milan, Lombardy",Active,2008,2008-present,"Progressive, Gothic Metal, gothic symphonic metal, italian gothic metal, italian metal, slayer, symphonic power metal","Philosophy, Emotions, Fantasy, Mental disorders, Spirituality",Unsigned/independent,"['Ravenscry', 'One Way Out', 'Acoustic Parenthesis of a Dream State', 'The Attraction of Opposites', 'The Invisible', '100']",IT,4tLnmxO1rdlxWcEXXMds8a
1088,Ravensdöm,France,,Unknown,,,Black Metal,"Misanthropy, WWII, Communism, Socialism",Unsigned/independent,"['Demo II', 'Demo IV', 'The Austrasian Goat and The Vntrve Ensemble / Ravensdöm']",FR,
1089,Ravensfall,Finland,"Helsinki, Uusimaa",Changed name,1996,"1992-1996 (as Preprophecy), 1996-1998, 1998-2006 (as Cryhavoc)",Death Metal,Death,Unsigned/independent,['Promo/Demo-96'],FI,
1090,Ravensfjord,Germany,"Kassel, Hesse",Split-up,1996,1996-2001,Black Metal,,Unsigned/independent,['Ravensfjord'],DE,
1091,Ravenshade,Canada,"Guelph, Ontario",Split-up,2005,2005-?,Melodic Death Metal,"Love, Suicide",Unsigned/independent,['Wading'],CA,
1092,Ravenshades,Hungary,Budapest,Changed name,1997,"1997-2009, 2009-present (as Veér)",Black Metal,,The Klaan,"['Ravenshades', 'What Lives Inside Us...', 'Blood, Still Warm', 'MMV']",HU,
1093,Ravensire,Portugal,"Lisbon, Lisbon",Split-up,2011,2011-2020,"Heavy Metal, nwothm","Battles, Warfare, History",Cruz del Sur Music,"['Iron Will', 'We March Forward', 'Centaurean / Drawing the Sword', 'The Cycle Never Ends', 'Last', ""Tyrant's Dictum"", 'A Stone Engraved in Red']",PT,2Yx6q9DFAsIsddbLvYDKP9
1094,Ravensirkl,Germany,,Active,,,Black Metal,,Unsigned/independent,"['Morgenroete', 'Demo Rehearsal', 'Weltenschlange']",DE,3TgYGigoHu458qrM3WQepH
1095,RavenSkül,Spain,"Sanlúcar de Barrameda, Andalusia",Active,,,"Thrash Metal, Hardcore","Norse Mythology, Vikings",Unsigned/independent,"['Chemical Lobotomy', 'Gates of the Gods', 'RavenSkül', 'Conquistador esquelético', 'Silence the Cover-up', 'Caught in the Mosh', 'Valkyrjur', 'Darkness Comes', ""Loki's Holiday in Asgard""]",ES,
1096,Ravenskull,France,"Saint-Péray/Valence, Auvergne-Rhône-Alpes",Active,2010,2010-present,Black Metal,"Nature, Depression",Unsigned/independent,"[""L'agonie du genre humain""]",FR,
1097,Ravenson,Germany,Bavaria,Active,2019,"2019-2020, 2019-present",Black Metal,"Bavarian forests, Paganism, Philosophy",Unsigned/independent,"['Unter den Tannen', 'Sterne im See']",DE,
1098,Ravensoul,United Kingdom,"Leicester, Leicestershire, England",Split-up,1995,1995-?,Black Metal,"Satanism, Nuclear holocaust, War",Unsigned/independent,"['Bequest', 'Nunfucker']",GB,
1099,Ravenstench,United States,"Rio Grande City, Texas",Active,2012,2012-present,Black Metal,Depression,Unsigned/independent,"['River of Blood', 'Dia de los Muertos', 'Rzeki krwi są moim dziedzictwem', 'Resurrecting the Leviathan: The Lost Tapes']",US,
1100,Ravensthorn,United States,"Chicago, Illinois",Split-up,2001,2001-2014,"Heavy, Power Metal",Horror,Mighty Monster Records,"['House of the Damned', 'Hauntings and Possessions', 'The Haunted House of the Possessed', 'Horrors of the Black Mass']",US,
1101,Ravenstorm,Netherlands,"Oosterhout, North Brabant",Active,1997,1997-present,Melodic Black Metal,War,Unsigned/independent,['The Campaign of Esmee'],NL,
1102,Ravenstorm,Finland,"Helsinki, Uusimaa",Split-up,1997,"1993-1997 (as Wayreth), 1997-?",Symphonic Black Metal,,Unsigned/independent,['Ravenstorm'],FI,
1103,Ravenstorm,Italy,"Bolzano, Trentino-South Tyrol",Active,2014,2014-present,"Melodic Black, Death Metal",,Unsigned/independent,"['Infernum', 'Erlkönig', 'The Spirit of the Wolf']",IT,2HwkKXjcwlmQlZ71LKyhVX
1104,Ravensun,Canada,"Nanaimo, British Columbia",Active,2008,2008-present,Melodic Death Metal,"War, Battles",Unsigned/independent,['Heroes Demise'],CA,
1105,Ravenswood,Colombia,"Manizales, Caldas",Unknown,2003,2003-?,Melodic Death Metal,,Unsigned/independent,"['The Renaissance', 'The Last Path']",CO,
1106,Raventale,Ukraine,Kyiv,Active,2005,2005-present,"Atmospheric Black, Doom Metal, funeral doom, ukrainian black metal","Forests, Rain, Darkness",Ashen Dominion,"['На хрустальных качелях', 'Давно ушедших дней', 'Mortal Aspirations', 'After', 'Bringer of Heartsore', 'Transcendence', 'Mémoires', 'Dark Substance of Dharma', 'New World Planetarium', 'Planetarium', 'Morphine Dead Gardens', 'Planetarium II']",UA,4KOmMtbWad0uG8Wi91wDJ7
1107,Raventhilt,Poland,"Tomaszów Mazowiecki, Łódź",Active,2007,2007-present,Metalcore,,Unsigned/independent,"['The Art of Existence', 'Taming the Beast', 'The End of All Matters']",PL,
1108,Raventhorn,Russia,Moscow,Active,2018,"2015-2018 (as Loud'n'Proud), 2018-present",Melodic Black Metal,,Unsigned/independent,"['Nightmare in Eden', 'Shadows of Lonehill']",,13EGkBm7j0o2WvDVrH7i7Z
1109,Raventhrone,Austria,"Vienna (early); Toronto, Ontario, Canada (later)",Split-up,1997,1997-?,"Epic Gothic, Black Metal","Ancient times/battles, Fantasy",Avantgarde Music,"['Demo 1997', 'Malice in Wonderland', 'Endless Conflict Theorem']",AT,5SgxUwUMThr6C9lUazG33C
1110,Raventhrone,Poland,"Kraków, Lesser Poland",Active,2018,"2002-2003, 2018-present",Black Metal,"Battles, Darkness, Devil, Woods",Unsigned/independent,['Celtic Battles'],PL,
1111,Raventor,Hungary,"Debrecen, Hajdú-Bihar",Split-up,2002,2002-2006,"Black, Death Metal",,Unsigned/independent,['Mortal Notions'],HU,
1112,Ravenville,Poland,"Radom, Masovia",Active,2002,"2002-present, 2020-present",Gothic Metal,,Unsigned/independent,['Ravenville'],PL,
1113,Ravenword,Italy,"Milan, Lombardy",Active,2007,2007-present,"Symphonic Power Metal, viking black metal",,Rockshots Records,"['Ravenword', 'Transcendence']",IT,4UvEV9FVozymBkvqF6VGtZ
1114,Ravenwreck,China,Beijing,Active,2000,2000-present,Heavy Metal,,Kurong Music,['Sinometal Battalion'],CN,
1115,Ravenzang,Netherlands,,Active,2017,2017-present,Black Metal,"Medieval, Folklore, Darkness, Misanthropy",New Era Productions,"['Ravenzang', 'Terugkeer der tirannie', 'Uit een duister verleden', 'Rehearsal III']",NL,
1116,Ravia,Mexico,"Ciudad Juárez, Chihuahua",Active,1993,"1993-1994 (as Active), 1994-present","Power Metal, mexican power metal","Time, Sadness, Power",Unsigned/independent,"['Ravia', 'Angel de la guarda', 'Un mañana sin ayer', 'Alas de metal', 'Entre llamas y mentiras']",MX,0ElmKUWN4PNznm7aBzzAwQ
1117,Ravian,Germany,"Moers, North Rhine-Westphalia",Split-up,2006,"2003-2006 (as Stoneblind), 2006-2015, 2021",Symphonic Power Metal,,Unsigned/independent,"['Foreshadowing', 'Kinsmen from Afar']",DE,
1118,Ravin' Surgery,Italy,"Milan, Lombardy",Split-up,,,Thrash Metal,,Unsigned/independent,['Demo 1992'],IT,
1119,Ravine,Finland,"Hamina, Kymenlaakso",Split-up,,,Black Metal,,Unsigned/independent,['Departure'],FI,
1120,Ravine,United States,"Portland, Oregon",Active,2018,2018-present,"Sludge, Groove Metal","Black magic, Occultism, Blues",Unsigned/independent,['Ravine'],US,4IRBWyp5uWGUR7Agojj8to
1121,Ravine,Germany,"Freiberg, Saxony",Active,2010,2010-present,"Progressive Thrash, Death Metal",,Unsigned/independent,"['Demo 2012', 'Into the Abyss']",DE,
1122,Raving Mad,Sweden,"Västervik, Kalmar",Unknown,1984,"1984-1992, 2015-?","Thrash, Power Metal","War, Treachery, Injustice",Azra Records,"['Experience II', 'Swords & Sorceries', 'A Dazzling Display', 'Master Mind', '1990', 'A Dazzling Display of a Master Mind', 'Promo Tape 1990', 'Raving Mad', 'Pure Existence']",SE,
1123,Raving Madness,Germany,"Fulda, Hesse",Split-up,1991,1991-1993,"Speed, Power Metal",,Unsigned/independent,['Smelling like Shit'],DE,
1124,Raving Season,Italy,"Rome, Lazio",Active,2005,2005-present,"Gothic, Doom, Death Metal","Death, Love, Sorrow, Depression",My Kingdom Music,"['The Brightness of My Disaster', 'Amnio']",IT,
1125,Ravish Nocturne,Italy,"Bologna, Emilia-Romagna",Split-up,2005,2005-?,Black Metal,,Mistress Dance Records,['Clung to the Ground'],IT,
1126,Ravish Warriors,United States,"Wilmington, California",Active,,,"Thrash, Speed Metal",,Unsigned/independent,['2012 EP'],US,
1127,Ravished Flesh,Poland,"Tarnów, Lesser Poland",Split-up,1999,1999-?,Brutal Death Metal,"Sex, Death, Gore",Unsigned/independent,['Psychic Enema'],PL,
1128,Ravisher,United States,"Topeka, Kansas",Active,2008,2008-present,Thrash Metal,Violence,Unsigned/independent,['Ravish Me'],US,
1129,Ravishing,Denmark,"Svendborg, Syddanmark",Split-up,2000,"2000-2005, 2011-2021","Death, Black Metal","Horror, Sickness, Gore",Unsigned/independent,"['Bride in Shrouds', 'Gravewhisper', 'Rotting Process Experience', 'CorpseEater', 'Live and Bootlegged', 'A Study in Psychotic Terror', 'Grimness Rehearsal', 'Return of the Hissing Voices...', 'Monument of Obscurity', 'Haunted Shores', 'Rehearsal Tracks August 2017', 'The Entity', 'Live from the Swamps']",DK,
1130,Ravishment,Brazil,"Rio de Janeiro, Rio de Janeiro",Active,1999,1999-present,Doom Metal,"Depression, Darkness",Unsigned/independent,['Ravishment'],BR,
1131,Ravn,United States,"Richmond, Virginia",Active,2003,2003-present,Black Metal,"Expressionism, Naturalism, Existentialism",Unsigned/independent,"['Perspective', 'Welken Wälder', 'Ritual V in Baltimore', 'Welken Wälder', 'Existenz aus Aschen und Blut']",US,
1132,Ravn,Norway,"Kristiansand, Agder",Split-up,2000,2000-2003,Black Metal,Dark poetry,Unsigned/independent,['Master of Shadows'],NO,5rieEltgeH6NKW3dqZFrMh
1133,Ravn,Norway,"Trondheim, Trøndelag",Active,2012,2012-present,"Gothic, Folk Metal, nordic folk metal",,Unsigned/independent,"['Styggen', 'I mørke natt', 'Evighet', 'Hulderlokk']",NO,0JuMFBprEdDKlBte6Fyqdo
1134,Ravnblod,United States,"Austin, Texas",Active,2012,2012-present,Raw Black Metal,"Self-sacrifice, Doubt, Anti-Christian, Isolation, Indulgence",Red River Family Records,"['Demo 2012', 'Ravnblod\u200b / \u200bNecrocaine', 'Vrede', 'Wood of the Suicides', 'Noen synder', 'Ravnblod / Witiko']",US,
1135,Ravnesort,Denmark,"Copenhagen, Hovedstaden",Split-up,2003,2003-2011,Black Metal,"Misanthropy, Anti-Christian",Unsigned/independent,"['Demo 2005', 'Dommedagssalmer...hævnen', 'Dreams from the Beyond', 'Rehearshal MMIX']",DK,
1136,Ravnheim,Norway,"Lillehammer, Innlandet",Split-up,2009,2009-?,Black Metal,"Satanism, Darkness, War",Eastside,"['Ravnheim / Cryptal Spectres', 'Demo I']",NO,
1137,Ravnkald,International,Mexico / Norway / Switzerland / United States,Active,,,Black Metal,"Paganism, Mythology, War",Azermedoth Records,"['Solsnudag', 'Immortal Sun / Шлях у вічність / Vinlandic Northern Heritage', 'Pure Pagan Blood', 'Ancestral Steel', 'Pagan Warriors United', 'Ecos paganos', 'United by Pagan Blood', 'The Pagan Resistance', 'United by Pagan Blood', 'Nomads Through Sulphur Gateways']",,
1138,Ravnsang,Germany,"Kamp-Lintfort, North Rhine-Westphalia",Split-up,2006,2006-?,Black Metal,,Wolfsvuur Records,['Stories from Ancient Times'],DE,
1139,Ravnsdale,New Zealand,"Christchurch, Canterbury",Split-up,2000,2000-?,Black Metal,Depressive Strength,Unsigned/independent,"['Rebirth of War', 'Absurd Mundane']",NZ,
1140,Ravnsvart,Germany,Bavaria,Changed name,2010,"2009-2010 (as Blackhorned Wargoat), 2010-2013, 2013-present (as Drudensang)",Black Metal,"Darkness, Nature, War",Black Blood Records,['In den Fängen der Kälte'],DE,
1141,Ravok,Brazil,"Niterói, Rio de Janeiro",Split-up,2005,2005-2015,Symphonic Black Metal,"Hate, Anguish, Repression, Despair, Destruction",Unsigned/independent,"['Demo', 'Ravok']",BR,
1142,Ravynwulf,Canada,"Regina, Saskatchewan/Winnipeg, Manitoba",Active,2020,2020-present,"Symphonic Black, Death Metal","Darkness, Mysticism, Evil, Demons, Religion, Fantasy",Eldritch Abomination Records,['Ravynwulf'],CA,
1143,Raw,Indonesia,"Surabaya, East Java",Active,2015,2015-present,Brutal Death Metal,Gore,Brutal Mind,"['Promo 2015', 'Blindly', 'The Persecute Heinous', 'Languish']",ID,
1144,Raw,Italy,"Rome, Lazio",Split-up,1982,1982-?,"Heavy, Thrash Metal",,Unsigned/independent,"['Get Ready to Rise', 'No Heroes for this War', 'Rot in Silence']",IT,
1145,RAW,Czechia,"Kralupy nad Vltavou, Central Bohemian Region (early); Prague (later)",Active,2010,2010-present,Melodic Gothic Metal,"Personal struggles, Problems, Life",Unsigned/independent,"['Venom in Veins', 'Reborn']",,
1146,Raw,Portugal,"Seixal, Setúbal",Unknown,1999,1999-?,Thrash Metal,,Unsigned/independent,['Live at Casal do Marco'],PT,
1147,Raw,Austria,"Kirchbach, Styria",Split-up,2002,2002-2008,Symphonic Metal,,Unsigned/independent,"['Looking for a Colder Place', 'Diabolus in Musica']",AT,
1148,Raw,Germany,"Mannheim, Baden-Württemberg",Split-up,2006,2006-2017,"Death, Thrash Metal, Crossover",,MDD Records,"['Raw', 'Holidays in Toxic Wasteland', 'The Beastard', 'Moshpit', 'Rawzilla', 'Battalion of Demons']",DE,
1149,Raw Addict,International,"Dayton, Ohio / Winnipeg, Manitoba",Active,2016,2016-present,"Grindcore, Goregrind",,Blast Addict,"['Demo 1', '2', 'Raw Addict / Flesh Hoot', 'Rawhead / Raw Addict / Blue Holocaust / Active Stenosis', 'Raw Addict']",,
1150,Raw Apocalypse,Italy,"Milan, Lombardy",Active,2018,2018-present,"Thrash Metal, Metalcore","War, Life, Death",Unsigned/independent,['Raw Apocalypse'],IT,
1151,Raw Bastard,Russia,"Komsomolsk-on-Amur, Khabarovsk Krai",Active,2017,2017-present,"Raw Black, Death Metal","Anti-religion, Blasphemy",War Discipline Productions,"['All Kinds of Evil', 'Disharmonic Noise of the Unworld']",,
1152,Raw Charge,Latvia,Riga,Active,,,"Death, Thrash Metal",,Unsigned/independent,['Poisoned Presence'],LV,
1153,Raw Deal,United Kingdom,"Orpington, Kent, England",Split-up,1978,1978-1982,"NWOBHM, Heavy Metal",,White Witch Records,"['Out of My Head', 'Cut Above the Rest']",GB,
1154,Raw Deal,Germany,"Weingarten, Baden-Württemberg",Split-up,,,Thrash Metal with Hardcore influences,,Unsigned/independent,[],DE,
1155,Raw Death,Mexico,"Mérida, Yucatán",Split-up,2011,"2011-2014, 2014-2015","Death Metal, Crust","Darkness, Society",Unsigned/independent,"['Demo I', 'Demo II', 'Raw Death / Stench of Death', 'Raw Death']",MX,
1156,Raw Decimating Brutality,Portugal,"Guarda, Guarda (early); Covilhã, Castelo Branco / Porto, Porto / Braga (later)",Active,2003,2003-present,Grindcore,"Brutality, Manure, Sexual content, Civil construction related themes",Vomit Your Shirt,"['Sperm to Grind Your Ears', '4 Ways of Vomits & Murders', 'Obra ó Diabo!!!', 'Era Matarruana']",PT,
